priority_rank,incident_id,risk_score,risk_level,priority_band,incident_type,alert_count,affected_users,first_seen,tie_group_id,dominant_factors,primary_ranking_reason,deciding_factor,next_incident_id,score_difference
1,INC-0021,90.2,CRITICAL,CRITICAL,Multi-stage Attack,9,1,2026-09-01T10:00:00+00:00,,business_impact | asset_importance | severity,Higher risk score,risk_score,INC-0001,0.7
2,INC-0001,89.5,CRITICAL,CRITICAL,Data Exfiltration,7,1,2026-09-01T08:05:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0028,2.95
3,INC-0028,86.55,CRITICAL,CRITICAL,Data Exfiltration,5,1,2026-09-01T11:00:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0058,0.6
4,INC-0058,85.95,CRITICAL,CRITICAL,Multi-stage Attack,5,1,2026-09-01T14:00:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0033,6.5
5,INC-0033,79.45,CRITICAL,CRITICAL,Ransomware Outbreak,5,1,2026-09-01T12:00:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0066,0.6
6,INC-0066,78.85,CRITICAL,CRITICAL,Data Exfiltration,4,1,2026-09-01T15:00:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0012,0.01
7,INC-0012,78.84,CRITICAL,CRITICAL,Multi-stage Attack,6,2,2026-09-01T09:00:00+00:00,,severity | business_impact | asset_importance,Higher risk score,risk_score,INC-0045,0.5
8,INC-0045,78.34,CRITICAL,CRITICAL,DDoS Attack,5,2,2026-09-01T13:00:00+00:00,,asset_importance | severity | business_impact,Higher risk score,risk_score,INC-0042,2.34
9,INC-0042,76.0,CRITICAL,CRITICAL,Malware Infection,1,1,2026-09-01T12:40:40+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0008,1.65
10,INC-0008,74.35,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T08:56:07+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0026,0.05
11,INC-0026,74.3,HIGH,HIGH,Malware Infection,1,1,2026-09-01T10:44:53+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0073,1.7
12,INC-0073,72.6,HIGH,HIGH,Successful Login Event,1,1,2026-09-01T16:09:38+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0031,0.3
13,INC-0031,72.3,HIGH,HIGH,Failed Login Event,1,1,2026-09-01T11:51:40+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0017,0.25
14,INC-0017,72.05,HIGH,HIGH,Suspicious DNS Event,1,1,2026-09-01T09:28:00+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0098,0.7
15,INC-0098,71.35,HIGH,HIGH,Malware Infection,1,1,2026-09-01T18:47:51+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0054,0.1
16,INC-0054,71.25,HIGH,HIGH,Suspicious Email Event,1,1,2026-09-01T13:39:03+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0096,1.1
17,INC-0096,70.15,HIGH,HIGH,Malware Infection,1,1,2026-09-01T18:38:29+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0059,1.45
18,INC-0059,68.7,HIGH,HIGH,Command and Control Event,1,1,2026-09-01T14:01:24+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0107,0.6
19,INC-0107,68.1,HIGH,HIGH,Suspicious Email Event,1,1,2026-09-01T19:27:52+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0002,0.45
20,INC-0002,67.65,HIGH,HIGH,Suspicious DNS Event,1,1,2026-09-01T08:06:40+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0047,0.75
21,INC-0047,66.9,HIGH,HIGH,Malware Infection,1,1,2026-09-01T13:03:55+00:00,,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0050,1.65
22,INC-0050,65.25,HIGH,HIGH,Malware Infection,2,1,2026-09-01T13:28:43+00:00,,asset_importance | business_impact | attack_confidence,Higher risk score,risk_score,INC-0099,0.45
23,INC-0099,64.8,HIGH,HIGH,Port Scan Event,1,1,2026-09-01T19:01:47+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0110,0.1
24,INC-0110,64.7,HIGH,HIGH,Port Scan Event,1,1,2026-09-01T19:50:07+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0011,0.35
25,INC-0011,64.35,HIGH,HIGH,Suspicious DNS Event,1,1,2026-09-01T08:58:33+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0037,0.46
26,INC-0037,63.89,HIGH,HIGH,Unauthorized Access Event,2,2,2026-09-01T12:12:50+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0087,0.74
27,INC-0087,63.15,HIGH,HIGH,Malware Infection,1,1,2026-09-01T17:13:51+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0069,1.15
28,INC-0069,62.0,HIGH,HIGH,Port Scan Event,1,1,2026-09-01T15:54:00+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0093,0.05
29,INC-0093,61.95,HIGH,HIGH,Suspicious Email Event,1,1,2026-09-01T17:54:48+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0095,0.5
30,INC-0095,61.45,HIGH,HIGH,Suspicious Email Event,1,1,2026-09-01T18:29:47+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0015,0.05
31,INC-0015,61.4,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T09:21:02+00:00,TG-0001,asset_importance | business_impact | attack_confidence,Risk scores are tied,maximum_severity,INC-0081,0.0
32,INC-0081,61.4,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T16:48:52+00:00,TG-0001,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0074,0.35
33,INC-0074,61.05,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T16:21:58+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0032,0.3
34,INC-0032,60.75,HIGH,HIGH,Suspicious DNS Event,1,1,2026-09-01T11:59:01+00:00,,asset_importance | business_impact | data_sensitivity,Higher risk score,risk_score,INC-0009,0.1
35,INC-0009,60.65,HIGH,HIGH,Unauthorized Access Event,1,1,2026-09-01T08:56:11+00:00,TG-0002,business_impact | asset_importance | data_sensitivity,Risk scores are tied,first_seen,INC-0109,0.0
36,INC-0109,60.65,HIGH,HIGH,Suspicious DNS Event,1,1,2026-09-01T19:44:59+00:00,TG-0002,business_impact | asset_importance | data_sensitivity,Higher risk score,risk_score,INC-0035,0.05
