asset_id,hostname,asset_type,department,criticality,data_sensitivity,business_value,owner_department
ast_dc_01,dc-primary.corp.internal,domain_controller,IT,100,95,100,IT
ast_dc_02,dc-backup.corp.internal,domain_controller,IT,95,90,95,IT
ast_db_fin,fin-db-prod.corp.internal,database_server,Finance,95,100,100,Finance
ast_db_cust,cust-db-cluster.corp.internal,database_server,Sales,90,95,95,Sales
ast_pay_01,payment-gateway.corp.internal,payment_server,Finance,100,100,100,Finance
ast_web_01,www.company.com,web_server,Engineering,85,60,85,Engineering
ast_web_02,portal.company.com,web_server,Engineering,80,65,80,Engineering
ast_app_01,app-prod-01.corp.internal,application_server,Engineering,85,75,85,Engineering
ast_app_02,app-prod-02.corp.internal,application_server,Engineering,80,70,80,Engineering
ast_file_01,file-share-prod.corp.internal,file_server,Operations,75,85,80,Operations
ast_email_01,mail.corp.internal,email_server,IT,85,80,85,IT
ast_fw_01,fw-edge-01.corp.internal,firewall,Security,90,50,90,Security
ast_cloud_01,aws-prod-k8s.cloud.internal,cloud_server,Engineering,85,80,85,Engineering
ast_dev_db,dev-db-01.corp.internal,database_server,Engineering,50,55,50,Engineering
ast_dev_app,dev-app-01.corp.internal,application_server,Engineering,45,40,45,Engineering
ast_stage_web,staging-web.corp.internal,web_server,Engineering,55,45,50,Engineering
ast_internal_tool,wiki.corp.internal,application_server,IT,60,60,60,IT
ast_file_dev,file-share-dev.corp.internal,file_server,Engineering,45,50,45,Engineering
ast_cloud_dev,aws-dev-sandbox.cloud.internal,cloud_server,Engineering,40,35,40,Engineering
ast_test_01,test-box-01.corp.internal,test_server,IT,20,15,20,IT
ast_test_02,test-box-02.corp.internal,test_server,IT,15,10,15,IT
ast_wkst_01,wkst-hr-01.corp.internal,laptop,HR,35,13,15,HR
ast_wkst_02,wkst-it-02.corp.internal,workstation,IT,23,17,22,IT
ast_wkst_03,wkst-engineering-03.corp.internal,laptop,Engineering,19,13,32,Engineering
ast_wkst_04,wkst-sales-04.corp.internal,workstation,Sales,17,28,28,Sales
ast_wkst_05,wkst-operations-05.corp.internal,laptop,Operations,16,10,17,Operations
ast_wkst_06,wkst-security-06.corp.internal,workstation,Security,21,17,31,Security
ast_wkst_07,wkst-executive-07.corp.internal,laptop,Executive,34,10,32,Executive
ast_wkst_08,wkst-finance-08.corp.internal,workstation,Finance,21,30,32,Finance
ast_wkst_09,wkst-hr-09.corp.internal,laptop,HR,28,17,29,HR
ast_wkst_10,wkst-it-10.corp.internal,workstation,IT,33,18,15,IT
ast_wkst_11,wkst-engineering-11.corp.internal,laptop,Engineering,20,23,25,Engineering
ast_wkst_12,wkst-sales-12.corp.internal,workstation,Sales,23,14,21,Sales
ast_wkst_13,wkst-operations-13.corp.internal,laptop,Operations,25,13,17,Operations
ast_wkst_14,wkst-security-14.corp.internal,workstation,Security,27,13,26,Security
