incident_id,incident_type,baseline_rank,simulated_rank,rank_change,baseline_score,simulated_score,score_delta,baseline_risk_level,simulated_risk_level,risk_level_changed,baseline_dominant_factors,simulated_dominant_factors,dominant_factors_changed,scenario_name
INC-0021,Multi-stage Attack,1,1,0,90.2,90.2,0.0,CRITICAL,CRITICAL,False,business_impact | asset_importance | severity,business_impact | asset_importance | severity,False,baseline
INC-0001,Data Exfiltration,2,2,0,89.5,89.5,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0028,Data Exfiltration,3,3,0,86.55,86.55,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0058,Multi-stage Attack,4,4,0,85.95,85.95,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0033,Ransomware Outbreak,5,5,0,79.45,79.45,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0066,Data Exfiltration,6,6,0,78.85,78.85,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0012,Multi-stage Attack,7,7,0,78.84,78.84,0.0,CRITICAL,CRITICAL,False,severity | business_impact | asset_importance,severity | business_impact | asset_importance,False,baseline
INC-0045,DDoS Attack,8,8,0,78.34,78.34,0.0,CRITICAL,CRITICAL,False,asset_importance | severity | business_impact,asset_importance | severity | business_impact,False,baseline
INC-0042,Malware Infection,9,9,0,76.0,76.0,0.0,CRITICAL,CRITICAL,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0008,Unauthorized Access Event,10,10,0,74.35,74.35,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0026,Malware Infection,11,11,0,74.3,74.3,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0073,Successful Login Event,12,12,0,72.6,72.6,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0031,Failed Login Event,13,13,0,72.3,72.3,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0017,Suspicious DNS Event,14,14,0,72.05,72.05,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0098,Malware Infection,15,15,0,71.35,71.35,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0054,Suspicious Email Event,16,16,0,71.25,71.25,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0096,Malware Infection,17,17,0,70.15,70.15,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0059,Command and Control Event,18,18,0,68.7,68.7,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0107,Suspicious Email Event,19,19,0,68.1,68.1,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0002,Suspicious DNS Event,20,20,0,67.65,67.65,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0047,Malware Infection,21,21,0,66.9,66.9,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0050,Malware Infection,22,22,0,65.25,65.25,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0099,Port Scan Event,23,23,0,64.8,64.8,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0110,Port Scan Event,24,24,0,64.7,64.7,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0011,Suspicious DNS Event,25,25,0,64.35,64.35,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0037,Unauthorized Access Event,26,26,0,63.89,63.89,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0087,Malware Infection,27,27,0,63.15,63.15,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0069,Port Scan Event,28,28,0,62.0,62.0,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0093,Suspicious Email Event,29,29,0,61.95,61.95,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0095,Suspicious Email Event,30,30,0,61.45,61.45,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0015,Unauthorized Access Event,31,31,0,61.4,61.4,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0081,Unauthorized Access Event,32,32,0,61.4,61.4,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0074,Unauthorized Access Event,33,33,0,61.05,61.05,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0032,Suspicious DNS Event,34,34,0,60.75,60.75,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0009,Unauthorized Access Event,35,35,0,60.65,60.65,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0109,Suspicious DNS Event,36,36,0,60.65,60.65,0.0,HIGH,HIGH,False,business_impact | asset_importance | data_sensitivity,business_impact | asset_importance | data_sensitivity,False,baseline
INC-0035,Failed Login Event,37,37,0,60.6,60.6,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0056,Failed Login Event,38,38,0,60.5,60.5,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0077,Command and Control Event,39,39,0,60.2,60.2,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0022,Command and Control Event,40,40,0,59.95,59.95,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0063,Command and Control Event,41,41,0,59.95,59.95,0.0,HIGH,HIGH,False,asset_importance | business_impact | data_sensitivity,asset_importance | business_impact | data_sensitivity,False,baseline
INC-0036,Successful Login Event,42,42,0,59.75,59.75,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0007,Failed Login Event,43,43,0,59.6,59.6,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
INC-0088,Malware Infection,44,44,0,59.2,59.2,0.0,HIGH,HIGH,False,asset_importance | business_impact | attack_confidence,asset_importance | business_impact | attack_confidence,False,baseline
