alert_a,alert_b,correlation_score,same_user,same_asset,same_source_ip,same_destination_ip,temporal_proximity,related_alert_types,attack_progression,evidence_count,evidence_summary
alt_0016,alt_0017,99.81,1.0,1.0,1.0,1.0,0.9876,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 0.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0013,alt_0014,99.81,1.0,1.0,1.0,1.0,0.9876,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 0.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0014,alt_0015,99.81,1.0,1.0,1.0,1.0,0.9876,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 0.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0015,alt_0016,99.81,1.0,1.0,1.0,1.0,0.9876,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 0.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0014,alt_0016,99.63,1.0,1.0,1.0,1.0,0.9753,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.0 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0013,alt_0015,99.63,1.0,1.0,1.0,1.0,0.9753,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.0 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0015,alt_0017,99.63,1.0,1.0,1.0,1.0,0.9753,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.0 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0017,alt_0018,99.51,1.0,1.0,1.0,1.0,0.9672,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.3 minutes of each other | Related alert categories (Failed Login and Brute Force) | Plausible attack progression: Failed Login (Authentication) -> Brute Force (Authentication)
alt_0014,alt_0017,99.45,1.0,1.0,1.0,1.0,0.9632,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0013,alt_0016,99.45,1.0,1.0,1.0,1.0,0.9632,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.5 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0016,alt_0018,99.33,1.0,1.0,1.0,1.0,0.9552,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 1.8 minutes of each other | Related alert categories (Failed Login and Brute Force) | Plausible attack progression: Failed Login (Authentication) -> Brute Force (Authentication)
alt_0013,alt_0017,99.27,1.0,1.0,1.0,1.0,0.9512,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 2.0 minutes of each other | Related alert categories (Failed Login and Failed Login) | Plausible attack progression: Failed Login (Authentication) -> Failed Login (Authentication)
alt_0015,alt_0018,99.15,1.0,1.0,1.0,1.0,0.9433,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 2.3 minutes of each other | Related alert categories (Failed Login and Brute Force) | Plausible attack progression: Failed Login (Authentication) -> Brute Force (Authentication)
alt_0018,alt_0019,99.09,1.0,1.0,1.0,1.0,0.9394,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 2.5 minutes of each other | Related alert categories (Brute Force and Successful Login After Failures) | Plausible attack progression: Brute Force (Authentication) -> Successful Login After Failures (Authentication)
alt_0014,alt_0018,98.97,1.0,1.0,1.0,1.0,0.9316,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 2.8 minutes of each other | Related alert categories (Failed Login and Brute Force) | Plausible attack progression: Failed Login (Authentication) -> Brute Force (Authentication)
alt_0013,alt_0018,98.8,1.0,1.0,1.0,1.0,0.92,1.0,1.0,7,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 3.3 minutes of each other | Related alert categories (Failed Login and Brute Force) | Plausible attack progression: Failed Login (Authentication) -> Brute Force (Authentication)
alt_0009,alt_0010,98.57,1.0,1.0,1.0,1.0,0.9048,1.0,1.0,7,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Same source IP address (192.168.1.106) | Same destination IP address (192.168.1.106) | Occurred within 4.0 minutes of each other | Related alert categories (Suspicious PowerShell and Malware Detection) | Plausible attack progression: Suspicious PowerShell (Execution) -> Malware Detection (Execution)
alt_0037,alt_0038,98.24,1.0,1.0,1.0,1.0,0.8825,1.0,1.0,7,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same source IP address (103.22.200.5) | Same destination IP address (10.0.0.50) | Occurred within 5.0 minutes of each other | Related alert categories (Impossible Travel and Successful Login) | Plausible attack progression: Impossible Travel (Recon / Initial Access) -> Successful Login (Authentication)
alt_0022,alt_0023,98.24,1.0,1.0,1.0,1.0,0.8825,1.0,1.0,7,Same user involved (usr_009) | Same target asset affected (ast_web_01) | Same source IP address (198.51.100.77) | Same destination IP address (10.0.2.5) | Occurred within 5.0 minutes of each other | Related alert categories (Web Attack and SQL Injection) | Plausible attack progression: Web Attack (Recon / Initial Access) -> SQL Injection (Collection / Internal Access)
alt_0005,alt_0006,98.24,1.0,1.0,1.0,1.0,0.8825,1.0,1.0,7,Same user involved (usr_fin_mgr) | Same target asset affected (ast_db_fin) | Same source IP address (10.0.2.10) | Same destination IP address (10.0.1.50) | Occurred within 5.0 minutes of each other | Related alert categories (Lateral Movement and Unauthorized Access) | Plausible attack progression: Lateral Movement (Lateral Movement) -> Unauthorized Access (Collection / Internal Access)
alt_0019,alt_0020,88.52,1.0,1.0,1.0,1.0,0.9011,1.0,0.0,6,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 4.2 minutes of each other | Related alert categories (Successful Login After Failures and Privilege Escalation)
alt_0038,alt_0039,88.24,1.0,1.0,1.0,1.0,0.8825,1.0,0.0,6,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same source IP address (103.22.200.5) | Same destination IP address (10.0.0.50) | Occurred within 5.0 minutes of each other | Related alert categories (Successful Login and New Admin Account)
alt_0010,alt_0011,88.13,1.0,1.0,1.0,0.0,0.8752,1.0,1.0,6,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Same source IP address (192.168.1.106) | Occurred within 5.3 minutes of each other | Related alert categories (Malware Detection and Command and Control) | Plausible attack progression: Malware Detection (Execution) -> Command and Control (Command & Control)
alt_0001,alt_0002,83.92,1.0,1.0,0.0,1.0,0.9277,1.0,1.0,6,Same user involved (usr_fin_mgr) | Same target asset affected (ast_wkst_01) | Same destination IP address (192.168.1.105) | Occurred within 3.0 minutes of each other | Related alert categories (Suspicious Email and Credential Theft) | Plausible attack progression: Suspicious Email (Recon / Initial Access) -> Credential Theft (Credential Access / PrivEsc)
alt_0027,alt_0028,83.92,1.0,1.0,0.0,1.0,0.9277,1.0,1.0,6,Same user involved (usr_devops) | Same target asset affected (ast_dev_app) | Same destination IP address (10.0.2.20) | Occurred within 3.0 minutes of each other | Related alert categories (Suspicious PowerShell and Ransomware Indicator) | Plausible attack progression: Suspicious PowerShell (Execution) -> Ransomware Indicator (Execution)
alt_0032,alt_0033,83.8,1.0,1.0,0.0,1.0,0.92,1.0,1.0,6,Same user involved (usr_015) | Same target asset affected (ast_fw_01) | Same destination IP address (10.0.0.1) | Occurred within 3.3 minutes of each other | Related alert categories (Port Scan and DDoS) | Plausible attack progression: Port Scan (Recon / Initial Access) -> DDoS (Command & Control)
alt_0008,alt_0009,83.57,1.0,1.0,0.0,1.0,0.9048,1.0,1.0,6,Same user involved (usr_hr_spec) | Same target asset affected (ast_wkst_02) | Same destination IP address (192.168.1.106) | Occurred within 4.0 minutes of each other | Related alert categories (Suspicious Email and Suspicious PowerShell) | Plausible attack progression: Suspicious Email (Recon / Initial Access) -> Suspicious PowerShell (Execution)
alt_0023,alt_0024,83.24,1.0,1.0,0.0,1.0,0.8825,1.0,1.0,6,Same user involved (usr_009) | Same target asset affected (ast_web_01) | Same destination IP address (10.0.2.5) | Occurred within 5.0 minutes of each other | Related alert categories (SQL Injection and Web Server Compromise) | Plausible attack progression: SQL Injection (Collection / Internal Access) -> Web Server Compromise (Collection / Internal Access)
alt_0020,alt_0021,83.24,1.0,1.0,0.0,1.0,0.8825,1.0,1.0,6,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same destination IP address (10.0.1.99) | Occurred within 5.0 minutes of each other | Related alert categories (Privilege Escalation and Unauthorized Access) | Plausible attack progression: Privilege Escalation (Credential Access / PrivEsc) -> Unauthorized Access (Collection / Internal Access)
alt_0036,alt_0038,81.68,1.0,1.0,0.0,1.0,0.7788,1.0,1.0,6,Same user involved (usr_sales_vp) | Same target asset affected (ast_cloud_01) | Same destination IP address (10.0.0.50) | Occurred within 10.0 minutes of each other | Related alert categories (Successful Login and Successful Login) | Plausible attack progression: Successful Login (Authentication) -> Successful Login (Authentication)
alt_0017,alt_0019,78.63,1.0,1.0,1.0,1.0,0.9086,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 3.8 minutes of each other
alt_0016,alt_0019,78.46,1.0,1.0,1.0,1.0,0.8973,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 4.3 minutes of each other
alt_0015,alt_0019,78.29,1.0,1.0,1.0,1.0,0.8862,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 4.8 minutes of each other
alt_0003,alt_0004,78.24,1.0,1.0,1.0,1.0,0.8825,0.0,0.0,5,Same user involved (usr_fin_mgr) | Same target asset affected (ast_app_01) | Same source IP address (192.168.1.105) | Same destination IP address (10.0.2.10) | Occurred within 5.0 minutes of each other
alt_0014,alt_0019,78.13,1.0,1.0,1.0,1.0,0.8752,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 5.3 minutes of each other
alt_0013,alt_0019,77.96,1.0,1.0,1.0,1.0,0.8643,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 5.8 minutes of each other
alt_0018,alt_0020,77.7,1.0,1.0,1.0,1.0,0.8465,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 6.7 minutes of each other
alt_0017,alt_0020,77.28,1.0,1.0,1.0,1.0,0.8187,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 8.0 minutes of each other
alt_0043,alt_0044,77.18,1.0,1.0,1.0,1.0,0.8119,0.0,0.0,5,Same user involved (usr_insider) | Same target asset affected (ast_wkst_06) | Same source IP address (192.168.1.110) | Same destination IP address (52.84.12.19) | Occurred within 8.3 minutes of each other
alt_0016,alt_0020,77.13,1.0,1.0,1.0,1.0,0.8086,0.0,0.0,5,Same user involved (usr_sysadmin) | Same target asset affected (ast_pay_01) | Same source IP address (203.0.113.15) | Same destination IP address (10.0.1.99) | Occurred within 8.5 minutes of each other
