alert_id,timestamp,alert_type,source_ip,destination_ip,user_id,asset_id,severity,description,confidence,status
alt_0001,2026-09-01T08:05:00+00:00,Suspicious Email,185.220.101.5,192.168.1.105,usr_fin_mgr,ast_wkst_01,45,Phishing email detected with suspicious attachment delivered to Finance Manager,60,open
alt_0143,2026-09-01T08:06:40+00:00,Suspicious DNS,192.168.5.170,10.0.2.19,usr_010,ast_dc_02,22,DNS query to newly registered domain for marketing software (ast_dc_02),73,open
alt_0002,2026-09-01T08:08:00+00:00,Credential Theft,192.168.1.105,192.168.1.105,usr_fin_mgr,ast_wkst_01,85,LSASS memory dump detected on workstation ast_wkst_01,90,open
alt_0003,2026-09-01T08:12:00+00:00,Successful Login,192.168.1.105,10.0.2.10,usr_fin_mgr,ast_app_01,60,Successful authentication to app server using stolen credentials,95,open
alt_0004,2026-09-01T08:17:00+00:00,Privilege Escalation,192.168.1.105,10.0.2.10,usr_fin_mgr,ast_app_01,88,Token impersonation attempt to elevate privileges to SYSTEM,85,open
alt_0080,2026-09-01T08:18:50+00:00,Port Scan,192.168.4.179,10.0.1.80,usr_043,ast_wkst_03,25,Routine internal network audit scan by IT security scanner (ast_wkst_03),57,open
alt_0005,2026-09-01T08:22:00+00:00,Lateral Movement,10.0.2.10,10.0.1.50,usr_fin_mgr,ast_db_fin,90,PsExec lateral movement from app server to Financial Database,92,open
alt_0006,2026-09-01T08:27:00+00:00,Unauthorized Access,10.0.2.10,10.0.1.50,usr_fin_mgr,ast_db_fin,92,Bulk query execution on restricted financial_records table,88,open
alt_0007,2026-09-01T08:32:00+00:00,Data Exfiltration,10.0.1.50,185.220.101.5,usr_fin_mgr,ast_db_fin,98,Encrypted HTTPS outbound transfer of 4.2 GB to untrusted IP 185.220.101.5,95,open
alt_0050,2026-09-01T08:41:47+00:00,Port Scan,192.168.3.188,10.0.2.113,usr_039,ast_wkst_12,13,Routine internal network audit scan by IT security scanner (ast_wkst_12),52,open
alt_0045,2026-09-01T08:43:34+00:00,Successful Login,192.168.2.172,10.0.1.92,usr_050,ast_wkst_06,14,Normal user login during standard business hours (ast_wkst_06),92,open
alt_0150,2026-09-01T08:46:12+00:00,Suspicious PowerShell,172.16.2.222,10.0.2.149,usr_028,ast_wkst_05,40,Automated software update script running via PowerShell (ast_wkst_05),63,open
alt_0125,2026-09-01T08:49:31+00:00,Failed Login,192.168.4.31,10.0.1.62,usr_035,ast_app_02,27,Routine password mistype during login attempt (ast_app_02),74,open
alt_0086,2026-09-01T08:56:07+00:00,Unauthorized Access,192.168.4.31,10.0.1.104,usr_032,ast_pay_01,43,User attempted to access restricted intranet page without permissions (ast_pay_01),65,open
alt_0140,2026-09-01T08:56:11+00:00,Unauthorized Access,192.168.3.28,10.0.3.131,usr_014,ast_file_01,40,User attempted to access restricted intranet page without permissions (ast_file_01),52,open
alt_0100,2026-09-01T08:56:22+00:00,Suspicious Email,192.168.2.239,10.0.2.114,usr_045,ast_wkst_11,18,Marketing email flagged by spam filter due to tracking links (ast_wkst_11),50,open
alt_0087,2026-09-01T08:58:33+00:00,Suspicious DNS,172.16.10.244,10.0.2.23,usr_016,ast_app_01,37,DNS query to newly registered domain for marketing software (ast_app_01),74,open
alt_0008,2026-09-01T09:00:00+00:00,Suspicious Email,198.51.100.44,192.168.1.106,usr_hr_spec,ast_wkst_02,50,Email with suspicious macro-enabled document received,70,open
alt_0112,2026-09-01T09:01:17+00:00,Unauthorized Access,192.168.4.39,10.0.1.137,usr_027,ast_fw_01,30,User attempted to access restricted intranet page without permissions (ast_fw_01),50,open
alt_0009,2026-09-01T09:04:00+00:00,Suspicious PowerShell,192.168.1.106,192.168.1.106,usr_hr_spec,ast_wkst_02,78,Encoded PowerShell command executed from Word document process,85,open
alt_0010,2026-09-01T09:08:00+00:00,Malware Detection,192.168.1.106,192.168.1.106,usr_hr_spec,ast_wkst_02,85,Trojan.GenericDropper detected in AppData directory,95,open
alt_0011,2026-09-01T09:13:20+00:00,Command and Control,192.168.1.106,198.51.100.44,usr_hr_spec,ast_wkst_02,92,Beaconing traffic to external C2 node 198.51.100.44 every 30 seconds,90,open
alt_0052,2026-09-01T09:16:25+00:00,Successful Login,192.168.1.186,10.0.2.131,usr_020,ast_wkst_06,10,Normal user login during standard business hours (ast_wkst_06),96,open
alt_0012,2026-09-01T09:20:00+00:00,Lateral Movement,192.168.1.106,10.0.3.15,usr_hr_spec,ast_file_01,82,SMB connection attempt to production file server using HR service account,80,open
alt_0135,2026-09-01T09:20:16+00:00,Port Scan,192.168.2.18,10.0.1.72,usr_040,ast_test_02,22,Routine internal network audit scan by IT security scanner (ast_test_02),59,open
alt_0157,2026-09-01T09:21:02+00:00,Unauthorized Access,192.168.1.16,10.0.2.75,usr_sales_vp,ast_web_01,44,User attempted to access restricted intranet page without permissions (ast_web_01),64,open
alt_0113,2026-09-01T09:26:15+00:00,Suspicious PowerShell,192.168.2.129,10.0.3.38,usr_015,ast_wkst_09,40,Automated software update script running via PowerShell (ast_wkst_09),58,open
alt_0062,2026-09-01T09:28:00+00:00,Suspicious DNS,192.168.4.179,10.0.1.182,usr_014,ast_pay_01,33,DNS query to newly registered domain for marketing software (ast_pay_01),63,open
alt_0145,2026-09-01T09:32:47+00:00,Failed Login,192.168.5.14,10.0.3.22,usr_018,ast_wkst_08,28,Routine password mistype during login attempt (ast_wkst_08),75,open
alt_0108,2026-09-01T09:48:54+00:00,Command and Control,192.168.1.186,10.0.1.106,usr_042,ast_file_01,27,False positive alert triggered by legitimate web analytics heartbeat (ast_file_01),55,open
alt_0152,2026-09-01T09:55:37+00:00,Suspicious Email,192.168.4.136,10.0.1.103,usr_020,ast_wkst_01,22,Marketing email flagged by spam filter due to tracking links (ast_wkst_01),60,open
alt_0141,2026-09-01T09:58:12+00:00,Successful Login,192.168.3.31,10.0.2.148,usr_015,ast_wkst_07,13,Normal user login during standard business hours (ast_wkst_07),99,open
alt_0013,2026-09-01T10:00:00+00:00,Failed Login,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,40,Failed SSH login attempt #1 for admin account,80,open
alt_0014,2026-09-01T10:00:30+00:00,Failed Login,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,45,Failed SSH login attempt #2 for admin account,80,open
alt_0015,2026-09-01T10:01:00+00:00,Failed Login,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,50,Failed SSH login attempt #3 for admin account,80,open
alt_0016,2026-09-01T10:01:30+00:00,Failed Login,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,55,Failed SSH login attempt #4 for admin account,80,open
alt_0017,2026-09-01T10:02:00+00:00,Failed Login,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,60,Failed SSH login attempt #5 for admin account,80,open
alt_0018,2026-09-01T10:03:20+00:00,Brute Force,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,85,Brute force attack threshold reached: 120 failed SSH attempts in 3 minutes,95,open
alt_0019,2026-09-01T10:05:50+00:00,Successful Login After Failures,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,90,Successful authentication following automated brute force attack,98,open
alt_0020,2026-09-01T10:10:00+00:00,Privilege Escalation,203.0.113.15,10.0.1.99,usr_sysadmin,ast_pay_01,94,Sudo exploitation attempt (CVE-2021-3156) on payment gateway host,90,open
alt_0021,2026-09-01T10:15:00+00:00,Unauthorized Access,10.0.1.99,10.0.1.99,usr_sysadmin,ast_pay_01,96,Direct memory inspection on active credit card transaction buffer,92,open
alt_0066,2026-09-01T10:19:24+00:00,Command and Control,172.16.7.153,10.0.3.171,usr_hr_spec,ast_web_01,45,False positive alert triggered by legitimate web analytics heartbeat (ast_web_01),53,open
alt_0149,2026-09-01T10:21:06+00:00,Suspicious PowerShell,192.168.2.130,10.0.3.173,usr_052,ast_wkst_02,22,Automated software update script running via PowerShell (ast_wkst_02),62,open
alt_0139,2026-09-01T10:22:07+00:00,Command and Control,172.16.9.145,10.0.2.173,usr_008,ast_wkst_06,36,False positive alert triggered by legitimate web analytics heartbeat (ast_wkst_06),53,open
alt_0067,2026-09-01T10:28:13+00:00,Malware Detection,192.168.3.99,10.0.2.56,usr_030,ast_test_02,40,Adware PUP detected and automatically quarantined by endpoint agent (ast_test_02),91,open
