incident_id,incident_type,risk_score,risk_level,dominant_factors,risk_explanation,sev_val,sev_contrib,asset_imp_val,asset_imp_contrib,aff_users_val,aff_users_contrib,data_sens_val,data_sens_contrib,attack_conf_val,attack_conf_contrib,biz_impact_val,biz_impact_contrib,alert_count,affected_users,cluster_score
INC-0021,Multi-stage Attack,90.2,CRITICAL,business_impact | asset_importance | severity,"CRITICAL risk level (90.20/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Severity (19.20 pts, CRITICAL).",96.0,19.2,100.0,20.0,10.03,1.003,100.0,15.0,100.0,15.0,100.0,20.0,9,1,84.53
INC-0001,Data Exfiltration,89.5,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (89.50/100). Primary risk drivers are Severity (19.60 pts, CRITICAL), Business Impact (19.50 pts, CRITICAL), Asset Importance (19.40 pts, CRITICAL).",98.0,19.6,97.0,19.4,10.03,1.003,100.0,15.0,100.0,15.0,97.5,19.5,7,1,69.53
INC-0028,Data Exfiltration,86.55,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (86.55/100). Primary risk drivers are Severity (19.40 pts, CRITICAL), Business Impact (18.50 pts, CRITICAL), Asset Importance (18.40 pts, CRITICAL).",97.0,19.4,92.0,18.4,10.03,1.003,95.0,14.25,100.0,15.0,92.5,18.5,5,1,68.22
INC-0058,Multi-stage Attack,85.95,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (85.95/100). Primary risk drivers are Severity (18.80 pts, CRITICAL), Business Impact (18.50 pts, CRITICAL), Asset Importance (18.40 pts, CRITICAL).",94.0,18.8,92.0,18.4,10.03,1.003,95.0,14.25,100.0,15.0,92.5,18.5,5,1,72.07
INC-0033,Ransomware Outbreak,79.45,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (79.45/100). Primary risk drivers are Severity (19.60 pts, CRITICAL), Business Impact (15.70 pts, CRITICAL), Asset Importance (15.40 pts, CRITICAL).",98.0,19.6,77.0,15.4,10.03,1.003,85.0,12.75,100.0,15.0,78.5,15.7,5,1,64.94
INC-0066,Data Exfiltration,78.85,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (78.85/100). Primary risk drivers are Severity (19.00 pts, CRITICAL), Business Impact (15.70 pts, CRITICAL), Asset Importance (15.40 pts, CRITICAL).",95.0,19.0,77.0,15.4,10.03,1.003,85.0,12.75,100.0,15.0,78.5,15.7,4,1,57.64
INC-0012,Multi-stage Attack,78.84,CRITICAL,severity | business_impact | asset_importance,"CRITICAL risk level (78.84/100). Primary risk drivers are Severity (18.40 pts, CRITICAL), Business Impact (15.70 pts, CRITICAL), Asset Importance (15.40 pts, CRITICAL).",92.0,18.4,77.0,15.4,15.9,1.59,85.0,12.75,100.0,15.0,78.5,15.7,6,2,64.63
INC-0045,DDoS Attack,78.34,CRITICAL,asset_importance | severity | business_impact,"CRITICAL risk level (78.34/100). Primary risk drivers are Asset Importance (18.00 pts, CRITICAL), Severity (17.60 pts, CRITICAL), Business Impact (16.40 pts, CRITICAL).",88.0,17.6,90.0,18.0,15.9,1.59,65.0,9.75,100.0,15.0,82.0,16.4,5,2,56.1
INC-0042,Malware Infection,76.0,CRITICAL,business_impact | asset_importance | data_sensitivity,"CRITICAL risk level (76.00/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",34.0,6.8,100.0,20.0,10.03,1.003,100.0,15.0,88.0,13.2,100.0,20.0,1,1,100.0
INC-0008,Unauthorized Access Event,74.35,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (74.35/100). Primary risk drivers are Business Impact (20.00 pts, CRITICAL), Asset Importance (20.00 pts, CRITICAL), Data Sensitivity (15.00 pts, CRITICAL).",43.0,8.6,100.0,20.0,10.03,1.003,100.0,15.0,65.0,9.75,100.0,20.0,1,1,100.0
INC-0026,Malware Infection,74.3,HIGH,business_impact | asset_importance | data_sensitivity,"HIGH risk level (74.30/100). Primary risk drivers are Business Impact (18.50 pts, CRITICAL), Asset Importance (18.40 pts, CRITICAL), Data Sensitivity (14.25 pts, CRITICAL).",41.0,8.2,92.0,18.4,10.03,1.003,95.0,14.25,93.0,13.95,92.5,18.5,1,1,100.0
